,name,id
0,ООО  НОВАКИТ,1212300015036-obschestvo-s-ogranichennoj-otvetstvennostyu-novakit
1,ООО  СБЕРЭНЕРГО,1207700231342-obschestvo-s-ogranichennoj-otvetstvennostyu-sberenergo
2,ООО  СИГМА,1159102055936-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-sigma
3,АО  РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ,5087746119951-ao-rossijskij-kontsern-po-proizvodstvu-elektricheskoj-i-teplovoj-energii-na-atomnyih-stantsiyah
4,АО  ФЕДЕРАЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ ЕДИНОЙ ЭНЕРГЕТИЧЕСКОЙ СИСТЕМЫ,1024701893336-pao-publichnoe-aktsionernoe-obschestvo-federalnaya-setevaya-kompaniya-edinoj-energeticheskoj-sistemyi
5,АО  ФЕДЕРАЛЬНАЯ ГИДРОГЕНЕРИРУЮЩАЯ КОМПАНИЯ - РУСГИДРО,1042401810494-pao-publichnoe-aktsionernoe-obschestvo-federalnaya-gidrogeneriruyuschaya-kompaniya-rusgidro
6,АО  ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ,1047855099170-ao-gazprom-gazoraspredelenie
7,АО  ИНТЕР РАО ЕЭС,1022302933630-pao-inter-rao-ees
8,АО  ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ,1117746460358-ao-inter-rao-elektrogeneratsiya
9,ООО  ТРАНСНЕФТЬ - ВОСТОК,1063801003617-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-transneft-vostok
10,ООО  ТРАНСНЕФТЬ - ДАЛЬНИЙ ВОСТОК,1092724004944-ooo-transneft-dalnij-vostok
11,ООО  ТРАНСНЕФТЬ - БАЛТИКА,1024700871711-ooo-transneft-baltika
12,АО  ЕВРОСИБЭНЕРГО,5087746073817-ao-aktsionernoe-obschestvo-evrosibenergo
13,ГУП  ГУП ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКС САНКТ-ПЕТЕРБУРГА,1027810310274-gup-gosudarstvennoe-unitarnoe-predpriyatie-toplivno-energeticheskij-kompleks-sankt-peterburga
14,АО  Т ПЛЮС,1056315070350-pao-publichnoe-aktsionernoe-obschestvo-t-plyus
15,АО  ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ,1057746394155-ao-obedinennaya-energeticheskaya-kompaniya
16,АО  МОСГАЗ,1127747295686-ao-aktsionernoe-obschestvo-mosgaz
17,ООО  ГАЗПРОМ ГАЗОМОТОРНОЕ ТОПЛИВО,1063905088158-ooo-gazprom-gazomotornoe-toplivo
18,АО  ДАЛЬНЕВОСТОЧНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ,1051401746769-ao-dalnevostochnaya-generiruyuschaya-kompaniya
19,АО  ВТОРАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ ОПТОВОГО РЫНКА ЭЛЕКТРОЭНЕРГИИ,1052600002180-pao-vtoraya-generiruyuschaya-kompaniya-optovogo-ryinka-elektroenergii
20,АО  НЕОРГАНИЧЕСКИЕ СОРБЕНТЫ,1216600003927-aktsionernoe-obschestvo-neorganicheskie-sorbentyi
21,ООО  НАТУРАЛ БИО ОРГАНИК,1217700273306-ooo-natural-bio-organik
22,ООО  АТОМ,1187847051611-ooo-atom
23,ООО  ПОЛИДОКС,1201600047220-obschestvo-s-ogranichennoj-otvetstvennostyu-polidoks
24,АО  ПЕНТА ТЕХНОЛОГИИ,1197746615824-aktsionernoe-obschestvo-penta-tehnologii
