name,id
ООО  НОВАКИТ,1212300015036-obschestvo-s-ogranichennoj-otvetstvennostyu-novakit
ООО  СБЕРЭНЕРГО,1207700231342-obschestvo-s-ogranichennoj-otvetstvennostyu-sberenergo
ООО  СИГМА,1159102055936-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-sigma
АО  РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ,5087746119951-ao-rossijskij-kontsern-po-proizvodstvu-elektricheskoj-i-teplovoj-energii-na-atomnyih-stantsiyah
АО  ФЕДЕРАЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ ЕДИНОЙ ЭНЕРГЕТИЧЕСКОЙ СИСТЕМЫ,1024701893336-pao-publichnoe-aktsionernoe-obschestvo-federalnaya-setevaya-kompaniya-edinoj-energeticheskoj-sistemyi
АО  ФЕДЕРАЛЬНАЯ ГИДРОГЕНЕРИРУЮЩАЯ КОМПАНИЯ - РУСГИДРО,1042401810494-pao-publichnoe-aktsionernoe-obschestvo-federalnaya-gidrogeneriruyuschaya-kompaniya-rusgidro
АО  ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ,1047855099170-ao-gazprom-gazoraspredelenie
АО  ИНТЕР РАО ЕЭС,1022302933630-pao-inter-rao-ees
АО  ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ,1117746460358-ao-inter-rao-elektrogeneratsiya
ООО  ТРАНСНЕФТЬ - ВОСТОК,1063801003617-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-transneft-vostok
ООО  ТРАНСНЕФТЬ - ДАЛЬНИЙ ВОСТОК,1092724004944-ooo-transneft-dalnij-vostok
ООО  ТРАНСНЕФТЬ - БАЛТИКА,1024700871711-ooo-transneft-baltika
АО  ЕВРОСИБЭНЕРГО,5087746073817-ao-aktsionernoe-obschestvo-evrosibenergo
ГУП  ГУП ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКС САНКТ-ПЕТЕРБУРГА,1027810310274-gup-gosudarstvennoe-unitarnoe-predpriyatie-toplivno-energeticheskij-kompleks-sankt-peterburga
АО  Т ПЛЮС,1056315070350-pao-publichnoe-aktsionernoe-obschestvo-t-plyus
АО  ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ,1057746394155-ao-obedinennaya-energeticheskaya-kompaniya
АО  МОСГАЗ,1127747295686-ao-aktsionernoe-obschestvo-mosgaz
ООО  ГАЗПРОМ ГАЗОМОТОРНОЕ ТОПЛИВО,1063905088158-ooo-gazprom-gazomotornoe-toplivo
АО  ДАЛЬНЕВОСТОЧНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ,1051401746769-ao-dalnevostochnaya-generiruyuschaya-kompaniya
АО  ВТОРАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ ОПТОВОГО РЫНКА ЭЛЕКТРОЭНЕРГИИ,1052600002180-pao-vtoraya-generiruyuschaya-kompaniya-optovogo-ryinka-elektroenergii
